"Lakshmīpuram","Lakshmipuram","10.0777","77.5212","India","IN","IND","Tamil Nādu","","10000","1356228747"
"Fatehgarh","Fatehgarh","20.3000","85.3300","India","IN","IND","Odisha","","10000","1356401014"
"Isnapuram","Isnapuram","17.5443","78.3486","India","IN","IND","Andhra Pradesh","","10000","1356470546"
"Mevāni","Mevani","11.5000","77.5333","India","IN","IND","Tamil Nādu","","10000","1356158938"
"Kerwāda","Kerwada","21.9000","72.8500","India","IN","IND","Gujarāt","","10000","1356177547"
"Ulipuram","Ulipuram","11.4667","78.4667","India","IN","IND","Tamil Nādu","","10000","1356257972"
"Dijmur","Dijmur","27.6761","94.8108","India","IN","IND","Assam","","10000","1356490792"
"Kochhor","Kochhor","27.6268","75.1376","India","IN","IND","Rājasthān","","10000","1356546964"
"Betnoti","Betnoti","21.7355","86.8499","India","IN","IND","Odisha","","10000","1356376845"
"Bālāgām","Balagam","21.3694","70.0981","India","IN","IND","Gujarāt","","10000","1356790443"
"Mangalam","Mangalam","11.9256","78.8872","India","IN","IND","Tamil Nādu","","10000","1356388563"
"Sotik","Sotik","-0.6796","35.1200","Kenya","KE","KEN","Bomet","","10000","1404807525"
"Kargi","Kargi","2.5068","37.5756","Kenya","KE","KEN","Marsabit","","10000","1404034627"
"Kourani","Kourani","-11.8511","43.4261","Comoros","KM","COM","Grande Comore","","10000","1174935601"
"Srîfa","Srifa","33.2814","35.3964","Lebanon","LB","LBN","Liban-Sud","","10000","1422782357"
"Chartoûn","Chartoun","33.7711","35.6858","Lebanon","LB","LBN","Mont-Liban","","10000","1422935329"
"Qâna","Qana","33.2092","35.2992","Lebanon","LB","LBN","Liban-Sud","","10000","1422539070"
"Amioûn","Amioun","34.3000","35.8000","Lebanon","LB","LBN","Liban-Nord","minor","10000","1422143071"
"Râs el Metn","Ras el Metn","33.8500","35.6667","Lebanon","LB","LBN","Mont-Liban","","10000","1422014908"
